Location,Metric,FY22,FY23
California,M1a,353813,366494
CA-500 San Jose/Santa Clara City & County CoC,M1a,17909,17932
CA-501 San Francisco CoC,M1a,17743,20725
"CA-502 Oakland, Berkeley/Alameda County CoC",M1a,13611,14230
CA-503 Sacramento City & County CoC,M1a,16095,20667
"CA-504 Santa Rosa, Petaluma/Sonoma County CoC",M1a,5026,4815
CA-505 Richmond/Contra Costa County CoC,M1a,6718,8090
"CA-506 Salinas/Monterey, San Benito Counties CoC",M1a,3782,3875
CA-507 Marin County CoC,M1a,1937,2284
CA-508 Watsonville/Santa Cruz City & County CoC,M1a,2429,2060
CA-509 Mendocino County CoC,M1a,1759,1437
"CA-510 Turlock, Modesto/Stanislaus County CoC",M1a,6365,6562
CA-511 Stockton/San Joaquin County CoC,M1a,11285,11028
CA-512 Daly City/San Mateo County CoC,M1a,5780,6228
"CA-513 Visalia/Kings, Tulare Counties CoC",M1a,4717,5283
CA-514 Fresno City & County/Madera County CoC,M1a,9536,11734
"CA-515 Roseville, Rocklin/Placer County CoC",M1a,2324,2235
"CA-516 Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",M1a,2682,2626
CA-517 Napa City & County CoC,M1a,1110,1122
CA-518 Vallejo/Solano County CoC,M1a,1686,1815
"CA-519 Chico, Paradise/Butte County CoC",M1a,3102,5476
CA-520 Merced City & County CoC,M1a,3906,3530
"CA-521 Davis, Woodland/Yolo County CoC",M1a,1834,1700
CA-522 Humboldt County CoC,M1a,2633,2376
"CA-523 Colusa, Glenn, Trinity Counties CoC",M1a,623,648
CA-524 Yuba City & County/Sutter County CoC,M1a,3534,3489
CA-525 El Dorado County CoC,M1a,744,954
"CA-526 Amador, Calaveras, Mariposa, Tuolumne Counties CoC",M1a,990,961
CA-527 Tehama County CoC,M1a,1256,1147
CA-529 Lake County CoC,M1a,401,474
"CA-530 Alpine, Inyo, Mono Counties CoC",M1a,189,81
CA-531 Nevada County CoC,M1a,1371,1414
CA-600 Los Angeles City & County CoC,M1a,99084,100689
CA-601 San Diego City & County CoC,M1a,29075,32033
"CA-602 Santa Ana, Anaheim/Orange County CoC",M1a,30742,25853
CA-603 Santa Maria/Santa Barbara County CoC,M1a,4386,4336
CA-604 Bakersfield/Kern County CoC,M1a,9825,8938
CA-606 Long Beach CoC,M1a,7232,9044
CA-607 Pasadena CoC,M1a,1967,2079
CA-608 Riverside City & County CoC,M1a,12160,13225
CA-609 San Bernardino City & County CoC,M1a,10850,8783
"CA-611 Oxnard, San Buenaventura/Ventura County CoC",M1a,3145,3057
CA-612 Glendale CoC,M1a,1163,1089
CA-613 Imperial County CoC,M1a,1965,2291
CA-614 San Luis Obispo County CoC,M1a,3159,3612
Los Angeles County,M1a,104600,107463
California,M1b,115491,123423
CA-500 San Jose/Santa Clara City & County CoC,M1b,7708,7401
CA-501 San Francisco CoC,M1b,4397,4397
"CA-502 Oakland, Berkeley/Alameda County CoC",M1b,7135,7135
CA-503 Sacramento City & County CoC,M1b,6664,6664
"CA-504 Santa Rosa, Petaluma/Sonoma County CoC",M1b,2088,1291
CA-505 Richmond/Contra Costa County CoC,M1b,2329,1653
"CA-506 Salinas/Monterey, San Benito Counties CoC",M1b,1625,1625
CA-507 Marin County CoC,M1b,830,830
CA-508 Watsonville/Santa Cruz City & County CoC,M1b,1774,1426
CA-509 Mendocino County CoC,M1b,560,410
"CA-510 Turlock, Modesto/Stanislaus County CoC",M1b,946,949
CA-511 Stockton/San Joaquin County CoC,M1b,1355,1355
CA-512 Daly City/San Mateo County CoC,M1b,1092,1092
"CA-513 Visalia/Kings, Tulare Counties CoC",M1b,823,1089
CA-514 Fresno City & County/Madera County CoC,M1b,2338,2758
"CA-515 Roseville, Rocklin/Placer County CoC",M1b,408,407
"CA-516 Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",M1b,1096,1434
CA-517 Napa City & County CoC,M1b,366,349
CA-518 Vallejo/Solano County CoC,M1b,920,920
"CA-519 Chico, Paradise/Butte County CoC",M1b,588,580
CA-520 Merced City & County CoC,M1b,368,390
"CA-521 Davis, Woodland/Yolo County CoC",M1b,378,378
CA-522 Humboldt County CoC,M1b,1309,1309
"CA-523 Colusa, Glenn, Trinity Counties CoC",M1b,196,180
CA-524 Yuba City & County/Sutter County CoC,M1b,839,682
CA-525 El Dorado County CoC,M1b,438,438
"CA-526 Amador, Calaveras, Mariposa, Tuolumne Counties CoC",M1b,494,494
CA-527 Tehama County CoC,M1b,218,247
CA-529 Lake County CoC,M1b,259,259
"CA-530 Alpine, Inyo, Mono Counties CoC",M1b,95,74
CA-531 Nevada County CoC,M1b,243,227
CA-600 Los Angeles City & County CoC,M1b,45878,52307
CA-601 San Diego City & County CoC,M1b,4106,5171
"CA-602 Santa Ana, Anaheim/Orange County CoC",M1b,3057,3057
CA-603 Santa Maria/Santa Barbara County CoC,M1b,1367,1202
CA-604 Bakersfield/Kern County CoC,M1b,728,1017
CA-606 Long Beach CoC,M1b,2287,2482
CA-607 Pasadena CoC,M1b,280,303
CA-608 Riverside City & County CoC,M1b,1980,2441
CA-609 San Bernardino City & County CoC,M1b,2389,2976
"CA-611 Oxnard, San Buenaventura/Ventura County CoC",M1b,1356,1633
CA-612 Glendale CoC,M1b,103,89
CA-613 Imperial County CoC,M1b,925,1146
CA-614 San Luis Obispo County CoC,M1b,1156,1156
Los Angeles County,M1b,48548,55181
California,M2,187343,183587
CA-500 San Jose/Santa Clara City & County CoC,M2,8438,7566
CA-501 San Francisco CoC,M2,8159,9975
"CA-502 Oakland, Berkeley/Alameda County CoC",M2,6683,6773
CA-503 Sacramento City & County CoC,M2,8691,10455
"CA-504 Santa Rosa, Petaluma/Sonoma County CoC",M2,2353,1977
CA-505 Richmond/Contra Costa County CoC,M2,3702,4294
"CA-506 Salinas/Monterey, San Benito Counties CoC",M2,1902,1817
CA-507 Marin County CoC,M2,868,1076
CA-508 Watsonville/Santa Cruz City & County CoC,M2,1206,895
CA-509 Mendocino County CoC,M2,762,525
"CA-510 Turlock, Modesto/Stanislaus County CoC",M2,3401,3123
CA-511 Stockton/San Joaquin County CoC,M2,6203,5310
CA-512 Daly City/San Mateo County CoC,M2,2090,2126
"CA-513 Visalia/Kings, Tulare Counties CoC",M2,2757,3060
CA-514 Fresno City & County/Madera County CoC,M2,5170,6213
"CA-515 Roseville, Rocklin/Placer County CoC",M2,1050,882
"CA-516 Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",M2,1574,1260
CA-517 Napa City & County CoC,M2,564,527
CA-518 Vallejo/Solano County CoC,M2,979,1059
"CA-519 Chico, Paradise/Butte County CoC",M2,1644,3020
CA-520 Merced City & County CoC,M2,2209,1770
"CA-521 Davis, Woodland/Yolo County CoC",M2,1044,863
CA-522 Humboldt County CoC,M2,1501,1075
"CA-523 Colusa, Glenn, Trinity Counties CoC",M2,312,336
CA-524 Yuba City & County/Sutter County CoC,M2,1675,1563
CA-525 El Dorado County CoC,M2,458,503
"CA-526 Amador, Calaveras, Mariposa, Tuolumne Counties CoC",M2,592,565
CA-527 Tehama County CoC,M2,834,656
CA-529 Lake County CoC,M2,259,272
"CA-530 Alpine, Inyo, Mono Counties CoC",M2,120,27
CA-531 Nevada County CoC,M2,600,553
CA-600 Los Angeles City & County CoC,M2,46780,46954
CA-601 San Diego City & County CoC,M2,15166,16130
"CA-602 Santa Ana, Anaheim/Orange County CoC",M2,21323,15776
